recency,frequency,monetary
547,0.054421768,74.40
679,0.129251700,168.49
2932,0.006802721,34.35
1497,0.081632653,152.37
709,0.108843537,192.61
1033,0.081632653,154.02
1597,0.136054421,277.92
819,0.041095890,43.94
1761,0.006849315,65.25
620,0.253424657,357.39
1897,0.041095890,114.19
168,0.184931506,424.46
2176,0.006849315,44.76
1950,0.013698630,83.39
2644,0.020547945,32.35
435,0.102739726,227.86
1970,0.013698630,70.38
2573,0.013698630,67.13
179,0.089041095,130.48
1013,0.075342465,45.10
2212,0.006849315,24.96
462,0.280821917,972.98
1137,0.376712328,703.01
2363,0.006849315,54.16
966,0.013698630,62.35
2381,0.006849315,45.75
2313,0.027397260,179.89
1571,0.150684931,476.71
2403,0.006849315,54.68
559,0.089041095,47.82
603,0.047945205,161.36
862,0.020547945,44.83
1687,0.013698630,4.52
2403,0.082191780,243.52
1592,0.116438356,154.58
2538,0.013698630,44.78
1871,0.047945205,98.96
521,0.191780821,595.51
2444,0.006849315,20.83
2001,0.020547945,194.08
1234,0.500000000,1214.60
1735,0.013698630,19.72
850,0.020547945,43.11
460,0.541095890,868.36
2539,0.013698630,44.34
360,0.267123287,238.77
