recency,frequency,monetary
1629,2,28.26
421,3,48.28
1301,11,125.60
1355,2,26.37
1918,14,143.11
1632,4,8.92
193,160,1165.72
2527,10,127.78
2587,5,164.84
317,60,631.29
305,82,710.54
2384,2,158.31
2563,2,67.13
1533,21,348.49
2156,3,90.02
1961,6,100.54
623,8,64.65
2619,1,57.50
1949,8,61.75
873,5,87.66
1555,2,4.68
424,3,44.66
630,76,718.57
219,5,28.82
1477,5,56.50
2725,9,143.16
1760,1,6.66
1066,15,289.01
1908,2,19.63
2543,10,166.40
237,45,891.72
637,59,466.57
872,2,38.78
886,19,264.39
1451,22,140.15
1772,1,15.46
1502,1,69.29
1106,2,28.75
191,29,237.34
1149,4,68.32
2452,4,27.03
287,28,254.77
2316,29,285.72
808,2,11.90
2265,2,44.76
1634,27,261.70
219,3,27.59
913,45,544.41
505,3,21.91
1223,32,645.13
249,6,88.98
2174,51,850.01
1289,11,134.65
203,30,491.24
2069,2,61.18
1089,31,613.61
2432,8,46.05
1093,71,1316.42
1534,21,373.07
912,4,23.68
720,47,1236.31
2445,4,33.95
185,38,618.70
530,3,12.93
831,9,92.77
279,5,50.56
997,3,30.10
222,30,292.43
449,5,87.34
434,59,310.53
465,14,113.73
547,69,811.38
2291,3,57.74
1241,3,141.49
755,7,80.17
2177,2,42.74
169,229,4551.13
1888,11,67.98
1998,5,163.48
1164,6,114.52
2323,8,106.72
1272,3,31.51
395,50,613.29
1617,1,14.27
1195,20,105.54
1083,62,531.07
929,4,144.04
2722,3,33.44
1503,28,426.98
489,141,3090.29
482,1,28.47
207,1,6.65
636,1,27.76
1237,4,117.71
1542,48,466.57
1982,1,54.00
2628,1,23.30
1586,4,59.35
274,61,743.14
728,16,206.57
1653,7,102.68
2295,2,15.55
644,4,31.46
930,7,104.54
1069,1,8.10
1540,2,22.63
903,28,380.17
1606,4,26.44
2489,1,69.67
176,52,475.25
511,24,338.89
843,15,191.42
2647,1,14.92
1297,45,157.88
453,38,492.54
2900,2,46.07
199,21,735.79
413,52,867.86
2514,3,171.32
570,35,461.46
2718,3,214.95
502,15,104.85
951,4,73.43
2379,1,72.83
2202,21,676.99
877,6,79.98
1243,22,355.92
1361,2,36.38
1601,17,155.55
259,5,52.28
876,26,333.48
430,14,76.02
630,4,18.32
2120,1,41.63
1233,3,37.02
2200,12,87.43
1408,59,488.62
995,8,113.45
170,32,236.34
2407,2,66.65
1838,26,263.33
242,6,45.91
333,7,115.31
506,3,16.77
809,15,97.55
2102,6,85.76
174,7,67.24
2931,1,53.12
491,5,54.21
1213,12,174.81
876,7,66.49
807,1,16.66
507,14,302.43
2352,4,118.29
466,160,1666.65
727,1,17.11
945,1,20.76
1990,6,168.50
350,17,321.86
1162,7,55.68
2333,4,104.81
261,106,515.46
2171,5,131.93
1451,13,60.83
554,8,74.40
686,19,168.49
2939,1,34.35
1504,12,152.37
716,16,192.61
1040,12,154.02
1604,20,277.92
826,6,43.94
1768,1,65.25
627,37,357.39
1904,6,114.19
175,27,424.46
2183,1,44.76
1957,2,83.39
2651,3,32.35
442,15,227.86
1977,2,70.38
2580,2,67.13
186,13,130.48
1020,11,45.10
2219,1,24.96
469,41,972.98
1144,55,703.01
2370,1,54.16
973,2,62.35
2388,1,45.75
2320,4,179.89
1578,22,476.71
2410,1,54.68
566,13,47.82
610,7,161.36
869,3,44.83
1694,2,4.52
2410,12,243.52
1599,17,154.58
2545,2,44.78
1878,7,98.96
528,28,595.51
2451,1,20.83
2008,3,194.08
1241,73,1214.60
1742,2,19.72
857,3,43.11
467,79,868.36
2546,2,44.34
367,39,238.77
269,9,578.73
1786,4,68.94
2483,4,37.45
945,8,105.48
1194,56,2136.54
505,2,45.59
1195,18,387.96
1278,4,25.97
2258,1,18.68
2243,1,103.29
1251,1,62.50
1243,2,20.16
1823,2,47.02
2488,25,171.65
2716,1,13.87
2028,2,31.55
552,92,1157.34
791,8,119.62
2531,4,188.58
1915,11,114.69
594,4,73.68
2233,2,42.36
1066,3,35.06
1875,6,76.05
2738,2,64.51
169,16,306.19
2845,2,46.65
2850,4,80.28
1357,2,27.24
2210,2,125.71
2581,10,191.37
872,13,181.59
1903,3,36.68
2708,1,89.25
1452,6,101.06
2284,11,246.68
225,78,465.29
1560,13,240.72
446,13,204.02
2927,2,61.05
2340,10,294.30
1188,46,517.20
229,6,98.63
170,11,244.79
1296,2,22.10
715,2,111.53
1606,5,49.69
1086,14,173.43
507,7,86.29
1963,2,41.69
1389,12,127.25
504,22,473.71
438,61,569.41
394,3,30.33
1201,8,189.35
629,12,219.57
267,61,644.83
1369,5,12.75
282,9,132.78
521,11,125.58
826,1,8.74
168,1,22.75
2541,5,51.50
2033,11,197.42
709,5,24.73
1664,17,178.21
1784,4,38.63
573,11,159.82
2837,3,43.91
506,102,2439.48
2794,3,164.70
2263,22,172.78
2907,3,70.00
606,34,282.67
1478,1,30.33
554,5,54.10
1167,1,15.62
863,52,444.21
421,22,228.04
1674,2,42.55
526,9,124.56
1874,1,60.86
2254,20,145.27
233,13,212.56
813,1,23.18
1979,2,44.90
374,3,20.69
2538,1,11.63
816,9,102.53
169,48,647.50
2760,2,26.13
912,20,191.94
490,3,65.28
1866,4,27.55
2707,4,89.97
1388,6,47.81
2742,4,47.85
2043,3,50.81
2166,2,44.92
2130,3,103.33
990,1,14.25
1092,1,17.22
2495,26,378.04
1387,3,18.35
807,10,223.09
552,14,66.05
518,1,7.89
176,18,660.90
274,40,725.07
745,1,7.79
608,12,116.06
869,6,87.41
1329,1,10.62
2375,5,42.92
2021,2,33.24
1605,6,95.11
2679,1,49.92
329,44,278.50
2347,4,45.22
936,10,140.26
348,10,163.28
1741,13,496.10
708,13,90.83
2062,7,100.45
2521,2,127.71
2602,1,37.46
421,18,246.55
2254,3,85.34
1428,16,80.38
256,5,30.05
1968,10,214.77
247,58,537.28
1590,67,765.80
1523,2,16.09
1480,3,74.79
2657,4,114.65
2362,2,55.71
1224,5,16.99
327,13,263.48
2326,11,157.51
1704,6,49.83
448,3,80.48
1753,6,130.80
446,2,75.61
355,2,32.93
1166,14,166.62
1046,1,6.94
960,42,548.50
1087,16,123.82
1671,4,102.52
538,71,1194.46
419,6,25.65
2065,9,165.78
439,93,1119.33
298,6,60.93
220,11,72.28
2443,7,131.26
233,89,719.66
1254,1,27.95
356,3,27.17
2299,1,48.71
1030,4,52.12
2670,13,147.13
1532,1,24.03
2226,10,271.25
2288,8,93.82
1290,9,121.71
288,29,372.31
2518,7,258.67
1605,3,83.81
2724,7,422.55
869,40,228.24
1419,7,25.86
2848,5,83.53
2042,12,129.45
1309,2,61.77
1244,1,25.86
1544,1,13.53
2320,5,99.21
1041,38,191.43
523,7,307.28
980,6,23.17
1971,36,738.83
176,5,25.71
189,29,197.51
1665,14,20.03
571,5,64.86
182,66,877.09
709,74,505.95
1909,2,44.18
1635,6,60.27
545,5,2.40
893,57,381.09
222,222,3347.04
2123,15,247.79
2178,4,90.29
598,4,26.27
1342,4,3.22
1562,131,1927.34
1018,11,79.21
1453,1,12.09
186,149,1883.57
1200,3,13.74
288,15,405.23
872,20,526.17
1394,13,458.17
531,13,297.80
666,2,78.91
1017,6,20.32
1286,58,1075.72
201,5,81.03
1599,1,36.96
508,3,45.28
1975,4,93.54
343,24,161.41
435,2,16.30
1088,21,242.63
2521,2,17.34
435,30,402.04
916,7,87.74
1606,11,171.56
2338,12,518.26
1242,2,14.78
681,16,264.53
1031,127,1743.86
1592,39,369.03
201,149,2525.61
1217,9,107.71
1810,32,325.00
1475,145,1344.14
2610,4,106.30
2127,21,145.79
2100,19,273.06
2920,7,62.20
284,1,19.07
499,5,25.87
2482,4,42.49
2052,3,72.05
524,1,11.13
2320,6,133.46
1359,41,441.10
895,5,16.47
2586,3,117.02
1538,12,113.23
1384,3,8.71
326,5,26.82
2774,4,43.84
2361,1,29.16
180,11,131.99
1753,36,557.67
1748,16,40.34
1105,2,30.95
2203,4,83.83
398,7,114.61
321,26,198.35
421,43,713.73
2227,154,8138.62
1607,15,-66.82
1160,35,386.90
470,1,22.84
470,1,22.17
2441,22,249.92
222,2,40.48
337,67,765.26
319,12,60.87
1814,1,18.88
420,1,16.54
292,4,11.54
1242,12,81.43
2324,12,110.70
2505,7,87.11
2244,1,7.42
1409,5,97.26
2119,18,375.98
1790,178,3116.88
790,17,169.31
1596,15,248.94
2496,2,14.82
872,7,80.58
1299,11,91.34
266,1,16.01
1972,3,60.75
811,5,34.34
331,51,1188.83
293,4,31.58
900,2,100.17
2518,6,238.99
889,1,11.97
2485,8,46.09
657,6,83.58
527,33,543.73
1638,1,35.99
832,11,109.78
506,14,299.04
994,4,31.26
2412,14,147.10
501,16,149.97
2319,1,22.45
1932,12,79.52
893,67,836.67
1855,55,1058.77
455,7,290.11
2541,2,106.66
211,28,188.18
2512,2,162.71
1373,33,303.00
499,28,335.68
2734,5,31.69
895,7,47.48
2022,7,126.86
2495,2,28.31
2525,5,87.40
1605,3,50.01
1054,2,7.71
789,16,260.62
