recency,frequency,monetary,variety
1501,8,224.88,8
309,10,566.31,8
1959,15,166.72,13
427,27,241.33,18
1749,9,85.57,9
2507,2,94.50,2
2120,6,53.12,6
616,12,61.95,11
874,2,7.58,1
509,21,194.85,19
1495,24,264.87,18
2435,3,82.70,3
1223,7,67.14,7
500,40,248.55,32
1855,9,46.01,6
1494,14,101.90,13
567,12,227.39,11
655,16,45.58,15
840,10,164.36,10
510,151,3485.06,108
2753,3,44.12,3
2756,14,136.15,9
847,42,706.13,36
2460,2,22.96,1
250,108,2195.00,74
2874,4,159.07,3
381,2,19.78,2
829,39,926.37,37
425,12,191.85,12
1924,2,103.84,2
1093,18,232.98,15
220,245,3927.88,167
275,152,1183.70,116
1644,5,116.17,5
2220,1,13.13,1
175,134,1635.13,93
2126,11,114.95,11
2822,6,68.21,6
1007,1,28.50,1
1415,23,337.86,22
1753,2,14.03,2
344,110,1813.67,97
525,50,625.19,45
1221,119,1382.46,70
1720,1,7.90,1
334,26,340.23,24
873,5,43.07,5
2189,2,11.41,2
870,7,120.52,7
1866,66,2167.69,53
2358,5,105.63,5
2573,3,102.81,3
1704,1,12.99,1
608,8,119.12,8
1043,133,587.74,91
2854,4,35.68,4
387,11,180.79,10
1442,63,1342.22,56
258,112,1655.24,94
2934,1,14.10,1
2651,2,175.31,2
2626,3,53.89,3
344,3,34.34,3
2084,12,127.46,6
1601,35,645.46,29
2359,4,150.22,4
2755,4,43.30,4
2483,2,56.63,2
380,8,85.00,8
804,4,27.38,3
777,5,92.56,5
1559,12,384.46,7
177,1,23.59,1
2696,2,134.92,1
2539,1,21.25,1
1323,14,174.93,12
865,2,41.09,2
196,37,397.04,26
2491,5,134.91,5
2330,1,49.99,1
1993,5,245.89,5
1589,2,34.22,2
2850,7,44.24,7
1683,1,33.13,1
507,50,514.34,31
879,4,56.47,4
1382,68,465.98,62
355,14,91.17,12
1366,5,24.01,5
844,6,89.70,6
337,28,355.80,22
277,12,143.55,12
2456,1,34.95,1
2267,3,62.13,3
1639,7,233.45,6
2798,3,498.17,3
505,52,1546.27,36
628,3,192.76,3
609,24,345.45,22
1314,14,132.24,14
953,2,77.58,2
628,76,584.33,70
2635,3,63.87,3
204,449,7376.37,250
689,43,539.30,36
1770,1,41.63,1
2685,1,71.21,1
2722,7,187.07,7
541,31,460.20,28
2747,5,73.62,5
376,48,750.39,43
433,4,33.84,4
1379,16,204.59,16
1014,26,173.30,22
818,1,10.28,1
2585,1,5.82,1
589,6,132.98,6
1246,5,88.40,5
2054,6,106.61,6
1679,2,4.32,2
1050,6,77.38,4
385,26,242.97,25
1598,5,170.27,5
1980,7,121.78,7
2695,7,118.12,6
292,32,218.07,28
453,123,561.51,103
846,152,2240.34,96
1988,6,164.27,5
2259,8,73.73,8
2822,2,51.77,2
2595,1,46.20,1
853,5,98.16,4
1659,5,19.31,5
1286,7,97.60,7
1876,1,11.36,1
508,40,413.96,28
2693,1,112.86,1
570,2,35.05,2
2855,5,46.91,5
1139,1,20.19,1
1632,4,74.55,4
1330,5,34.40,5
1330,2,28.37,2
804,18,219.51,16
2359,16,121.49,15
877,15,223.02,14
2352,2,102.26,2
204,130,944.58,90
388,9,90.04,6
296,7,38.23,7
693,15,216.43,15
1110,6,84.82,6
2292,13,388.26,12
2266,1,85.42,1
2494,3,48.53,3
2009,2,45.66,2
2701,16,90.72,15
858,14,311.19,8
855,34,448.45,30
1685,3,31.46,3
473,24,420.36,18
461,4,47.90,4
2455,4,65.80,4
190,33,362.92,30
2931,2,41.72,2
490,5,63.80,5
392,1,5.38,1
2430,2,169.15,2
1644,2,7.34,2
177,9,203.91,8
988,9,135.27,9
791,8,51.08,7
886,8,121.72,6
508,1,29.15,1
440,8,57.77,8
2718,1,195.42,1
1281,4,252.11,4
1041,4,62.63,4
781,15,75.15,15
1599,3,163.41,3
2930,8,48.75,4
1952,5,171.31,5
438,28,449.41,16
1023,23,221.78,19
2318,5,72.16,5
749,2,41.77,2
1280,1,14.88,1
1453,62,595.97,53
1450,3,107.91,3
331,137,1446.99,71
2529,5,87.75,4
213,37,573.34,27
293,330,5419.41,169
2015,4,46.45,3
204,7,133.76,4
2349,2,49.51,2
1469,72,1132.47,49
2769,2,35.34,2
1451,9,34.13,8
229,7,71.47,7
2387,4,34.49,4
234,25,333.04,23
2018,4,14.95,3
1210,1,7.88,1
2177,20,552.91,17
783,7,151.30,7
1764,16,113.29,5
178,54,826.26,51
315,47,866.45,41
445,18,151.92,14
2935,4,50.53,4
269,183,1735.37,99
1054,7,145.12,6
2091,1,21.63,1
454,30,179.82,27
318,104,2080.82,92
2247,6,71.32,6
992,15,145.88,14
1963,16,248.17,16
938,4,58.08,4
338,1,16.66,1
553,3,101.42,3
416,17,427.30,15
197,13,120.00,12
176,25,262.96,23
1479,1,33.52,1
1155,20,250.39,17
1565,22,162.52,19
500,42,959.17,36
2537,11,166.54,11
1626,29,316.13,22
2282,4,83.69,4
1539,12,312.49,8
1414,144,1824.10,90
629,2,7.95,2
1861,4,157.49,4
632,11,211.81,11
849,4,50.46,4
2784,5,317.61,4
2200,1,141.63,1
2323,1,41.66,1
1550,5,159.31,3
2198,1,29.96,1
523,1,32.96,1
998,1,57.83,1
1984,2,54.93,2
2734,2,46.43,2
440,25,300.84,25
242,4,49.38,3
2717,1,74.96,1
384,338,3677.23,183
1332,4,22.91,1
1168,2,39.61,2
1772,1,31.47,1
430,11,135.25,10
1304,7,84.99,6
2001,5,34.74,5
2335,4,62.42,4
1086,10,219.57,8
2334,3,56.22,3
284,4,118.27,4
2475,27,209.01,22
1200,6,50.75,6
