recency,frequency,monetary,variety
594,0.040000000,33.30,6
1835,0.033333333,23.38,5
1619,0.233333333,348.90,27
2685,0.006666666,65.25,1
179,0.646666666,1428.18,78
775,0.046666666,93.55,7
634,0.006666666,7.09,1
2870,0.006666666,49.79,1
2905,0.026666666,90.27,4
2272,0.066666666,142.91,10
1365,0.033333333,136.15,5
173,0.060000000,227.25,9
390,0.413333333,506.86,45
2171,0.046666666,101.69,7
858,0.046666666,106.63,7
2858,0.026666666,115.50,4
2118,0.013333333,88.90,2
208,0.226666666,463.32,31
2337,0.006666666,54.92,1
1580,0.206666666,460.21,17
2841,0.006666666,24.58,1
2721,0.006666666,49.92,1
217,0.853333333,747.01,100
2255,0.033333333,189.93,5
415,0.160000000,466.47,18
951,0.206666666,255.26,23
1114,0.013333333,18.39,2
2618,0.026666666,73.39,4
1751,0.026666666,16.63,3
1725,0.073333333,272.73,10
2550,0.033333333,97.67,5
1746,0.013333333,17.74,2
200,0.086666666,190.05,13
1806,0.073333333,143.36,8
207,0.146666666,302.24,16
255,0.466666666,642.54,48
2486,0.140000000,256.42,16
1677,0.066666666,209.50,10
2206,0.033333333,159.35,5
299,0.540000000,1245.32,68
1608,0.006666666,19.93,1
718,0.013333333,50.37,2
1914,0.006666666,11.36,1
344,0.053333333,90.51,4
1653,1.360000000,2127.77,111
2294,0.020000000,62.45,3
2649,0.020000000,86.19,2
177,0.166666666,258.71,25
433,0.420000000,784.67,57
450,0.580000000,929.15,74
809,0.006666666,17.38,1
290,0.046666666,62.21,7
2842,0.006666666,19.95,1
1635,0.006666666,4.70,1
1151,0.126666666,398.65,15
2814,0.006666666,17.22,1
2068,0.033333333,110.38,5
1592,0.006666666,15.68,1
2850,0.006666666,24.98,1
2857,0.033333333,43.29,5
2900,0.006666666,20.75,1
487,0.233333333,575.74,23
1501,0.053333333,224.88,8
309,0.066666666,566.31,8
1959,0.100000000,166.72,13
427,0.180000000,241.33,18
1749,0.060000000,85.57,9
2507,0.013333333,94.50,2
2120,0.040000000,53.12,6
616,0.080000000,61.95,11
874,0.013333333,7.58,1
509,0.140000000,194.85,19
1495,0.160000000,264.87,18
2435,0.020000000,82.70,3
1223,0.046666666,67.14,7
500,0.266666666,248.55,32
1855,0.060000000,46.01,6
1494,0.093333333,101.90,13
567,0.080000000,227.39,11
655,0.106666666,45.58,15
840,0.066666666,164.36,10
510,1.006666666,3485.06,108
2753,0.020000000,44.12,3
2756,0.093333333,136.15,9
847,0.280000000,706.13,36
2460,0.013333333,22.96,1
250,0.720000000,2195.00,74
2874,0.026666666,159.07,3
381,0.013333333,19.78,2
829,0.260000000,926.37,37
425,0.080000000,191.85,12
1924,0.013333333,103.84,2
1093,0.120000000,232.98,15
220,1.633333333,3927.88,167
275,1.020134228,1183.70,116
1644,0.033557046,116.17,5
2220,0.006711409,13.13,1
175,0.899328859,1635.13,93
2126,0.073825503,114.95,11
2822,0.040268456,68.21,6
1007,0.006711409,28.50,1
1415,0.154362416,337.86,22
1753,0.013422818,14.03,2
344,0.738255033,1813.67,97
525,0.335570469,625.19,45
1221,0.798657718,1382.46,70
1720,0.006711409,7.90,1
334,0.174496644,340.23,24
873,0.033557046,43.07,5
2189,0.013422818,11.41,2
870,0.046979865,120.52,7
1866,0.442953020,2167.69,53
2358,0.033557046,105.63,5
2573,0.020134228,102.81,3
1704,0.006711409,12.99,1
608,0.053691275,119.12,8
1043,0.892617449,587.74,91
2854,0.026845637,35.68,4
387,0.073825503,180.79,10
1442,0.422818791,1342.22,56
258,0.751677852,1655.24,94
2934,0.006711409,14.10,1
2651,0.013422818,175.31,2
2626,0.020134228,53.89,3
344,0.020134228,34.34,3
2084,0.080536912,127.46,6
1601,0.234899328,645.46,29
2359,0.026845637,150.22,4
2755,0.026845637,43.30,4
