recency,frequency,monetary,clusters
2128,2,15.55,0
477,4,31.46,0
763,7,104.54,0
902,1,8.1,1
1373,2,22.63,0
736,28,380.17,0
1439,4,26.44,0
2322,1,69.67,1
9,52,475.25,0
344,24,338.89,0
676,15,191.42,0
2480,1,14.92,1
1130,45,157.88,0
286,38,492.54,0
2733,2,46.07,0
32,21,735.79,0
246,52,867.86,0
2347,3,171.32,0
403,35,461.46,0
2551,3,214.95,0
335,15,104.85,0
784,4,73.43,0
2212,1,72.83,1
2035,21,676.99,0
710,6,79.98,0
1076,22,355.92,0
1194,2,36.38,0
1434,17,155.55,0
92,5,52.28,0
709,26,333.48,0
263,14,76.02,0
463,4,18.32,0
1953,1,41.63,1
1066,3,37.02,0
2033,12,87.43,0
1241,59,488.62,0
828,8,113.45,0
3,32,236.34,0
2240,2,66.65,0
1671,26,263.33,0
75,6,45.91,0
166,7,115.31,0
339,3,16.77,0
642,15,97.55,0
1935,6,85.76,0
7,7,67.24,0
2764,1,53.12,1
324,5,54.21,0
1046,12,174.81,0
709,7,66.49,0
640,1,16.66,1
340,14,302.43,0
2185,4,118.29,0
299,160,1666.65,0
560,1,17.11,1
778,1,20.76,1
1823,6,168.5,0
183,17,321.86,0
995,7,55.68,0
2166,4,104.81,0
94,106,515.46,0
2004,5,131.93,0
1284,13,60.83,0
387,8,74.4,0
519,19,168.49,0
2772,1,34.35,1
1337,12,152.37,0
549,16,192.61,0
873,12,154.02,0
1437,20,277.92,0
659,6,43.94,0
1601,1,65.25,1
460,37,357.39,0
1737,6,114.19,0
8,27,424.46,0
2016,1,44.76,1
1790,2,83.39,0
2484,3,32.35,0
275,15,227.86,0
1810,2,70.38,0
2413,2,67.13,0
19,13,130.48,0
853,11,45.1,0
2052,1,24.96,1
302,41,972.98,0
977,55,703.01,0
2203,1,54.16,1
806,2,62.35,0
2221,1,45.75,1
2153,4,179.89,0
1411,22,476.71,0
2243,1,54.68,1
399,13,47.82,0
443,7,161.36,0
702,3,44.83,0
1527,2,4.52,0
2243,12,243.52,0
1432,17,154.58,0
2378,2,44.78,0
1711,7,98.96,0
361,28,595.51,0
2284,1,20.83,1
1841,3,194.08,0
1074,73,1214.6,0
1575,2,19.72,0
690,3,43.11,0
300,79,868.36,0
2379,2,44.34,0
200,39,238.77,0
102,9,578.73,0
1619,4,68.94,0
2316,4,37.45,0
778,8,105.48,0
1027,56,2136.54,0
338,2,45.59,0
1028,18,387.96,0
1111,4,25.97,0
2091,1,18.68,1
2076,1,103.29,1
1084,1,62.5,1
1076,2,20.16,0
1656,2,47.02,0
2321,25,171.65,0
2549,1,13.87,1
1861,2,31.55,0
385,92,1157.34,0
624,8,119.62,0
2364,4,188.58,0
1748,11,114.69,0
427,4,73.68,0
2066,2,42.36,0
899,3,35.06,0
1708,6,76.05,0
2571,2,64.51,0
2,16,306.19,0
2678,2,46.65,0
2683,4,80.28,0
1190,2,27.24,0
2043,2,125.71,0
2414,10,191.37,0
705,13,181.59,0
1736,3,36.68,0
2541,1,89.25,1
1285,6,101.06,0
2117,11,246.68,0
58,78,465.29,0
1393,13,240.72,0
279,13,204.02,0
2760,2,61.05,0
2173,10,294.3,0
1021,46,517.2,0
62,6,98.63,0
3,11,244.79,0
1129,2,22.1,0
548,2,111.53,0
1439,5,49.69,0
919,14,173.43,0
340,7,86.29,0
1796,2,41.69,0
1222,12,127.25,0
337,22,473.71,0
271,61,569.41,0
227,3,30.33,0
1034,8,189.35,0
462,12,219.57,0
100,61,644.83,0
1202,5,12.75,0
115,9,132.78,0
354,11,125.58,0
659,1,8.74,1
1,1,22.75,6
2374,5,51.5,0
1866,11,197.42,0
542,5,24.73,0
1497,17,178.21,0
1617,4,38.63,0
406,11,159.82,0
2670,3,43.91,0
339,102,2439.48,0
2627,3,164.7,0
2096,22,172.78,0
2740,3,70.0,0
439,34,282.67,0
1311,1,30.33,1
387,5,54.1,0
1000,1,15.62,1
696,52,444.21,0
254,22,228.04,0
1507,2,42.55,0
359,9,124.56,0
1707,1,60.86,1
2087,20,145.27,0
66,13,212.56,0
646,1,23.18,1
1812,2,44.9,0
