recency,frequency,monetary,variety,clusters,kmeans_cluster
220,0.073825503,180.79,10,0,1
1275,0.422818791,1342.22,56,0,3
91,0.751677852,1655.24,94,0,2
2767,0.006711409,14.1,1,1,0
2484,0.013422818,175.31,2,0,0
2459,0.020134228,53.89,3,0,0
177,0.020134228,34.34,3,0,1
1917,0.080536912,127.46,6,0,0
1434,0.234899328,645.46,29,0,3
2192,0.026845637,150.22,4,0,0
2588,0.026845637,43.3,4,0,0
2316,0.013422818,56.63,2,0,0
213,0.053691275,85.0,8,0,1
637,0.026845637,27.38,3,0,1
610,0.033557046,92.56,5,0,1
1392,0.080536912,384.46,7,0,0
10,0.006711409,23.59,1,1,1
2529,0.013422818,134.92,1,1,0
2372,0.006711409,21.25,1,1,0
1156,0.093959731,174.93,12,0,1
698,0.013422818,41.09,2,0,1
29,0.248322147,397.04,26,0,3
2324,0.033557046,134.91,5,0,0
2163,0.006711409,49.99,1,1,0
1826,0.033557046,245.89,5,0,0
1422,0.013422818,34.22,2,0,0
2683,0.046979865,44.24,7,0,0
1516,0.006711409,33.13,1,1,0
340,0.335570469,514.34,31,0,3
712,0.026845637,56.47,4,0,1
1215,0.456375838,465.98,62,0,3
188,0.093959731,91.17,12,0,1
1199,0.033557046,24.01,5,0,1
677,0.040268456,89.7,6,0,1
170,0.187919463,355.8,22,0,3
110,0.080536912,143.55,12,0,1
2289,0.006711409,34.95,1,1,0
2100,0.020134228,62.13,3,0,0
1472,0.046979865,233.45,6,0,0
2631,0.020134228,498.17,3,0,0
338,0.348993288,1546.27,36,0,3
461,0.020134228,192.76,3,0,1
442,0.161073825,345.45,22,0,1
1147,0.093959731,132.24,14,0,1
786,0.013422818,77.58,2,0,1
461,0.510067114,584.33,70,0,3
2468,0.020134228,63.87,3,0,0
37,3.013422818,7376.37,250,0,2
522,0.288590604,539.3,36,0,3
1603,0.006711409,41.63,1,1,0
2518,0.006711409,71.21,1,1,0
2555,0.046979865,187.07,7,0,0
374,0.208053691,460.2,28,0,3
2580,0.033557046,73.62,5,0,0
209,0.322147651,750.39,43,0,3
266,0.026845637,33.84,4,0,1
1212,0.10738255,204.59,16,0,1
847,0.174496644,173.3,22,0,1
651,0.006711409,10.28,1,1,1
2418,0.006711409,5.82,1,1,0
422,0.040268456,132.98,6,0,1
1079,0.033557046,88.4,5,0,1
1887,0.040268456,106.61,6,0,0
1512,0.013422818,4.32,2,0,0
883,0.040268456,77.38,4,0,1
218,0.174496644,242.97,25,0,1
1431,0.033557046,170.27,5,0,0
1813,0.046979865,121.78,7,0,0
2528,0.046979865,118.12,6,0,0
125,0.2147651,218.07,28,0,3
286,0.825503355,561.51,103,0,3
679,1.020134228,2240.34,96,0,2
1821,0.040268456,164.27,5,0,0
2092,0.053691275,73.73,8,0,0
2655,0.013422818,51.77,2,0,0
2428,0.006711409,46.2,1,1,0
686,0.033557046,98.16,4,0,1
1492,0.033557046,19.31,5,0,0
1119,0.046979865,97.6,7,0,1
1709,0.006711409,11.36,1,1,0
341,0.268456375,413.96,28,0,3
2526,0.006711409,112.86,1,1,0
403,0.013422818,35.05,2,0,1
2688,0.033557046,46.91,5,0,0
972,0.006711409,20.19,1,1,1
1465,0.026845637,74.55,4,0,0
1163,0.033557046,34.4,5,0,1
1163,0.013422818,28.37,2,0,1
637,0.120805369,219.51,16,0,1
2192,0.10738255,121.49,15,0,0
710,0.10067114,223.02,14,0,1
2185,0.013422818,102.26,2,0,0
37,0.872483221,944.58,90,0,3
221,0.060402684,90.04,6,0,1
129,0.046979865,38.23,7,0,1
526,0.10067114,216.43,15,0,1
943,0.040268456,84.82,6,0,1
2125,0.087248322,388.26,12,0,0
2099,0.006711409,85.42,1,1,0
2327,0.020134228,48.53,3,0,0
1842,0.013422818,45.66,2,0,0
2534,0.10738255,90.72,15,0,0
691,0.093959731,311.19,8,0,1
688,0.228187919,448.45,30,0,3
1518,0.020134228,31.46,3,0,0
306,0.161073825,420.36,18,0,1
294,0.026845637,47.9,4,0,1
2288,0.026845637,65.8,4,0,0
23,0.22147651,362.92,30,0,3
2764,0.013422818,41.72,2,0,0
323,0.033557046,63.8,5,0,1
225,0.006711409,5.38,1,1,1
2263,0.013422818,169.15,2,0,0
1477,0.013422818,7.34,2,0,0
10,0.060402684,203.91,8,0,1
821,0.060402684,135.27,9,0,1
624,0.053691275,51.08,7,0,1
719,0.053691275,121.72,6,0,1
341,0.006711409,29.15,1,1,1
273,0.053691275,57.77,8,0,1
2551,0.006711409,195.42,1,1,0
1114,0.026845637,252.11,4,0,1
874,0.026845637,62.63,4,0,1
614,0.10067114,75.15,15,0,1
1432,0.020134228,163.41,3,0,0
2763,0.053691275,48.75,4,0,0
