recency,frequency,monetary,variety,kmeans_cluster
2529,10,87.61,7,1
814,6,-7.28,6,0
821,8,86.95,8,0
2567,34,475.17,27,3
2296,1,41.92,1,1
1903,2,31.45,2,1
693,26,291.49,25,3
762,9,247.83,7,0
2670,6,248.51,6,1
630,4,56.83,4,0
2756,2,27.23,2,1
2284,9,93.9,9,1
2721,2,44.3,2,1
1560,10,114.97,9,1
597,7,49.42,6,0
2741,11,106.86,11,1
886,7,72.79,6,0
500,18,520.96,14,0
1989,1,140.18,1,1
2718,3,139.18,3,1
1697,7,155.86,6,1
2744,11,403.85,11,1
594,6,33.3,6,0
1835,5,23.38,5,1
1619,35,348.9,27,3
2685,1,65.25,1,1
179,97,1428.18,78,3
775,7,93.55,7,0
634,1,7.09,1,0
2870,1,49.79,1,1
2905,4,90.27,4,1
2272,10,142.91,10,1
1365,5,136.15,5,0
173,9,227.25,9,0
390,62,506.86,45,3
2171,7,101.69,7,1
858,7,106.63,7,0
2858,4,115.5,4,1
2118,2,88.9,2,1
208,34,463.32,31,3
2337,1,54.92,1,1
1580,31,460.21,17,3
2841,1,24.58,1,1
2721,1,49.92,1,1
217,128,747.01,100,3
2255,5,189.93,5,1
415,24,466.47,18,3
951,31,255.26,23,3
1114,2,18.39,2,0
2618,4,73.39,4,1
1751,4,16.63,3,1
1725,11,272.73,10,1
2550,5,97.67,5,1
1746,2,17.74,2,1
200,13,190.05,13,0
1806,11,143.36,8,1
207,22,302.24,16,0
255,70,642.54,48,3
2486,21,256.42,16,1
1677,10,209.5,10,1
2206,5,159.35,5,1
299,81,1245.32,68,3
1608,1,19.93,1,1
718,2,50.37,2,0
1914,1,11.36,1,1
344,8,90.51,4,0
1653,204,2127.77,111,2
2294,3,62.45,3,1
2649,3,86.19,2,1
177,25,258.71,25,3
433,63,784.67,57,3
450,87,929.15,74,3
809,1,17.38,1,0
290,7,62.21,7,0
2842,1,19.95,1,1
1635,1,4.7,1,1
1151,19,398.65,15,0
2814,1,17.22,1,1
2068,5,110.38,5,1
1592,1,15.68,1,1
2850,1,24.98,1,1
2857,5,43.29,5,1
2900,1,20.75,1,1
487,35,575.74,23,3
1501,8,224.88,8,1
309,10,566.31,8,0
1959,15,166.72,13,1
427,27,241.33,18,0
1749,9,85.57,9,1
2507,2,94.5,2,1
2120,6,53.12,6,1
616,12,61.95,11,0
874,2,7.58,1,0
509,21,194.85,19,0
1495,24,264.87,18,1
2435,3,82.7,3,1
1223,7,67.14,7,0
500,40,248.55,32,3
1855,9,46.01,6,1
1494,14,101.9,13,1
567,12,227.39,11,0
655,16,45.58,15,0
840,10,164.36,10,0
510,151,3485.06,108,2
2753,3,44.12,3,1
2756,14,136.15,9,1
847,42,706.13,36,3
2460,2,22.96,1,1
250,108,2195.0,74,3
2874,4,159.07,3,1
381,2,19.78,2,0
829,39,926.37,37,3
425,12,191.85,12,0
1924,2,103.84,2,1
1093,18,232.98,15,0
220,245,3927.88,167,2
275,152,1183.7,116,3
1644,5,116.17,5,1
2220,1,13.13,1,1
175,134,1635.13,93,3
2126,11,114.95,11,1
2822,6,68.21,6,1
1007,1,28.5,1,0
1415,23,337.86,22,3
1753,2,14.03,2,1
344,110,1813.67,97,3
525,50,625.19,45,3
1221,119,1382.46,70,3
1720,1,7.9,1,1
334,26,340.23,24,3
873,5,43.07,5,0
2189,2,11.41,2,1
870,7,120.52,7,0
1866,66,2167.69,53,3
2358,5,105.63,5,1
2573,3,102.81,3,1
1704,1,12.99,1,1
608,8,119.12,8,0
1043,133,587.74,91,3
2854,4,35.68,4,1
387,11,180.79,10,0
1442,63,1342.22,56,3
258,112,1655.24,94,3
2934,1,14.1,1,1
2651,2,175.31,2,1
2626,3,53.89,3,1
344,3,34.34,3,0
2084,12,127.46,6,1
1601,35,645.46,29,3
2359,4,150.22,4,1
2755,4,43.3,4,1
2483,2,56.63,2,1
380,8,85.0,8,0
804,4,27.38,3,0
777,5,92.56,5,0
1559,12,384.46,7,1
177,1,23.59,1,0
2696,2,134.92,1,1
2539,1,21.25,1,1
1323,14,174.93,12,0
865,2,41.09,2,0
196,37,397.04,26,3
2491,5,134.91,5,1
2330,1,49.99,1,1
1993,5,245.89,5,1
1589,2,34.22,2,1
2850,7,44.24,7,1
1683,1,33.13,1,1
507,50,514.34,31,3
879,4,56.47,4,0
1382,68,465.98,62,3
355,14,91.17,12,0
1366,5,24.01,5,0
844,6,89.7,6,0
337,28,355.8,22,3
277,12,143.55,12,0
2456,1,34.95,1,1
2267,3,62.13,3,1
1639,7,233.45,6,1
2798,3,498.17,3,1
505,52,1546.27,36,3
628,3,192.76,3,0
609,24,345.45,22,3
1314,14,132.24,14,0
953,2,77.58,2,0
628,76,584.33,70,3
2635,3,63.87,3,1
204,449,7376.37,250,2
689,43,539.3,36,3
1770,1,41.63,1,1
2685,1,71.21,1,1
2722,7,187.07,7,1
541,31,460.2,28,3
